Numéro CAS;Nom SA;Source;Date;Nom;valeur;Unite;Etude(s) pivot(s) 1;NOAEL de l'Ètude pivot 1;Unité NOAEL étude pivot 1;Etude(s) pivot(s) 2;Facteur de sécurité;F.correction (abs. orale lim.)
865318-97-4;amÈtoctradine;UE;01/08/2013;DJA;10;mg/kg/j;Autre(s) Ètude(s);1000;mg/kg/p.c./j;Etudes ‡ court et ‡ long terme;100;non nécessaire
865318-97-4;amÈtoctradine;UE;01/08/2013;AOEL;2;mg/kg/j;Autre(s) Ètude(s);1000;mg/kg/p.c./j;Etudes ‡ court et ‡ long terme;100;20%
120923-37-7;amidosulfuron;UE;01/01/2009;DJA;0,2;mg/kg/j;Reproduction sur deux gÈnÈrations, rat;22,5;mg/kg p.c./j;;100;non nécessaire
120923-37-7;amidosulfuron;UE;01/01/2009;ARFD;non pertinent;;;;;;;non nécessaire
120923-37-7;amidosulfuron;UE;01/01/2009;AOEL;1,4;mg/kg/j;90 jours et 1 an, voie orale, chien;144;mg/kg p.c./j;;100;non nécessaire
150114-71-9;aminopyralide;UE;01/01/2015;ARFD;0,26;mg/kg pc;TÈratogenËse, voie orale, lapin;26;mg/kg p.c./j;;100;non nécessaire
150114-71-9;aminopyralide;UE;01/01/2015;DJA;0,26;mg/kg/j;TÈratogenËse, voie orale, lapin;26;mg/kg p.c./j;;100;non nécessaire
150114-71-9;aminopyralide;UE;01/01/2015;AOEL;0,26;mg/kg/j;TÈratogenËse, voie orale, lapin;26;mg/kg p.c./j;;100;non nécessaire
348635-87-0;amisulbrom;UE;01/07/2014;ARFD;0,3;mg/kg pc;TÈratogenËse, voie orale, lapin;300;mg/kg/p.c./j;;100;non nécessaire
348635-87-0;amisulbrom;UE;01/07/2014;DJA;0,1;mg/kg/j;2 ans et 18 mois, voie orale, rat et souris;11,1;mg/kg/p.c./j;;100;non nécessaire
348635-87-0;amisulbrom;UE;01/07/2014;AOEL;0,15;mg/kg/j;TÈratogenËse, voie orale, lapin;300;mg/kg/p.c./j;;100;50%
11141-17-6;azadirachtin;UE;01/06/2011;DJA;0,1;mg/kg/j;90 jours, voie orale, rat;32;mg/kg p.c./j;;300;non nécessaire
11141-17-6;azadirachtin;UE;01/06/2011;ARFD;0,75;mg/kg pc;TÈratogenËse, voie orale, rat;225;mg/kg p.c./j;;300;non nécessaire
11141-17-6;azadirachtin;UE;01/06/2011;AOEL;0,1;mg/kg/j;90 jours, voie orale, rat;32;mg/kg p.c./j;;300;non nécessaire
131860-33-8;azoxystrobine;UE;20/08/2010;ARFD;non pertinent;;;;;;;non nécessaire
131860-33-8;azoxystrobine;UE;20/08/2010;AOEL;0,2;mg/kg/j;90 jours, voie orale, rat;21;mg/kg p.c./j;Ètude court-terme, voie orale, chien;100;non nécessaire
131860-33-8;azoxystrobine;UE;20/08/2010;DJA;0,2;mg/kg/j;2 ans, voie orale, rat;18;mg/kg p.c./j;;100;non nécessaire
113614-08-7;beflubutamid;UE;19/04/2007;DJA;0,02;mg/kg/j;2 ans, voie orale, rat;2,2;mg/kg p.c./j;;100;non nécessaire
113614-08-7;beflubutamid;UE;19/04/2007;ARFD;non pertinent;;;;;;;non nécessaire
113614-08-7;beflubutamid;UE;19/04/2007;AOEL;0,3;mg/kg/j;90 jours, voie orale, rat;30;mg/kg p.c./j;;100;non nécessaire
98243-83-5;benalaxyl-M;UE;20/11/2013;AOEL;0,06;mg/kg/j;90 jours, voie orale, rat;6,2;mg/kg/p.c./j;;100;non nécessaire
98243-83-5;benalaxyl-M;UE;20/11/2013;ARFD;non pertinent;;;;;;;non nécessaire
98243-83-5;benalaxyl-M;UE;20/11/2013;DJA;0,04;mg/kg/j;2 ans, voie orale, rat;4,42;mg/kg/p.c./j;Etude menÈe sur le Banalaxyl;100;non nécessaire
1861-40-1;benfluraline;UE;20/01/2023;AOEL;0,011;mg/kg/j;Reproduction sur deux gÈnÈrations, rat;5,5;mg/kg/p.c./j;rat, 2-generation study (offspringís toxicity);100;20%
1861-40-1;benfluraline;UE;01/03/2009;DJA;0,005;mg/kg/j;2 ans, voie orale, rat;0,5;mg/kg/p.c./j;;100;non nécessaire
1861-40-1;benfluraline;UE;20/01/2023;ARFD;0,5;mg/kg pc;Autre(s) Ètude(s);50;mg/kg/p.c./j;rabbit, developmental toxicity study (maternal toxicity);100;non nécessaire
1861-40-1;benfluraline;UE;20/01/2023;AAOEL;0,1;mg/kg pc;Autre(s) Ètude(s);50;mg/kg/p.c./j;rabbit, developmental toxicity study (maternal toxicity);100;20%
98730-04-2;benoxacor;CMT;12/01/2005;AOEL;0,05;mg/kg/j;1 an, voie orale, chien;5;mg/kg p.c./j;2 gÈnÈrations, voie orale, rat;100;non nécessaire
98730-04-2;benoxacor;CMT;26/06/1996;DJA;0,004;mg/kg/j;2 ans, voie orale, rat;0,4;mg/kg p.c./j;;100;non nécessaire
83055-99-6;bensulfuron-methyle;UE;02/12/2008;DJA;0,2;mg/kg/j;1 an, voie orale, chien;19,9;mg/kg p.c./j;;100;non nécessaire
83055-99-6;bensulfuron-methyle;UE;02/12/2008;AOEL;0,12;mg/kg/j;1 an, voie orale, chien;19,9;mg/kg p.c./j;;100;60%
83055-99-6;bensulfuron-methyle;UE;02/12/2008;ARFD;non pertinent;;;;;;;non nécessaire
25057-89-0;bentazone;UE;01/06/2018;ARFD;1;mg/kg pc;TÈratogenËse, voie orale, rat;100;mg/kg p.c./j;;100;non nécessaire
25057-89-0;bentazone;UE;01/06/2018;DJA;0,09;mg/kg/j;2 ans, voie orale, rat;9;mg/kg p.c./j;;100;non nécessaire
25057-89-0;bentazone;UE;01/06/2018;AOEL;0,13;mg/kg/j;1 an, voie orale, chien;13;mg/kg p.c./j;;100;non nécessaire
177406-68-7;benthiavalicarb-isopropyl;UE;23/08/2021;DJA;0,1;mg/kg/j;2 ans, voie orale, rat;9,9;mg/kg p.c./j;;100;non nécessaire
177406-68-7;benthiavalicarb-isopropyl;UE;23/08/2021;AAOEL;6,7;mg/kg pc;NeurotoxicitÈ, voie orale, rat, aigue;2000;;;300;non nécessaire
177406-68-7;benthiavalicarb-isopropyl;UE;23/08/2021;AOEL;0,1;mg/kg/j;Autre(s) Ètude(s);10;mg/kg/p.c./j;DÈveloppement, rat;100;non nécessaire
177406-68-7;benthiavalicarb-isopropyl;UE;23/08/2021;ARFD;6,7;mg/kg/j;NeurotoxicitÈ, voie orale, rat, aigue;2000;mg/kg/p.c./j;;300;non nécessaire
1072957-71-1;benzovindiflupyr;UE;02/03/2016;ARFD;0,1;mg/kg pc;NeurotoxicitÈ, voie orale, rat, aigue;10;mg/kg/p.c./j;;100;non nécessaire
1072957-71-1;benzovindiflupyr;UE;02/03/2016;DJA;0,05;mg/kg/j;2 ans, voie orale, rat;4,9;mg/kg/p.c./j;;100;non nécessaire
1072957-71-1;benzovindiflupyr;UE;02/03/2016;AOEL;0,04;mg/kg/j;Etude multigÈnÈrations,voie orale, rat;6,7;mg/kg/p.c./j;90 jours, voie orale, rat;100;60%
149877-41-8;bifenazate;UE;01/07/2022;AAOEL;0,036;mg/kg pc;TÈratogenËse, voie orale, rat;10;mg/kg/p.c./j;;100;36%
149877-41-8;bifenazate;UE;01/07/2022;AOEL;0,0036;mg/kg/j;1 an, voie orale, chien;1;mg/kg p.c./j;;100;36%
149877-41-8;bifenazate;UE;03/06/2005;DJA;0,01;mg/kg/j;2 ans, voie orale, rat;1;mg/kg p.c./j;90 jours et 1 an, voie orale, chien;100;non nécessaire
149877-41-8;bifenazate;UE;01/07/2022;ARFD;0,1;mg/kg pc;TÈratogenËse, voie orale, rat;10;mg/kg/p.c./j;;100;non nécessaire
42576-02-3;bifenox;UE;30/06/2008;DJA;0,3;mg/kg/j;2 ans, voie orale, souris;30;mg/kg p.c./j;;100;non nécessaire
42576-02-3;bifenox;UE;30/06/2008;ARFD;0,5;mg/kg pc;TÈratogenËse, voie orale, lapin;50;mg/kg p.c./j;;100;non nécessaire
42576-02-3;bifenox;UE;30/06/2008;AOEL;0,125;mg/kg/j;TÈratogenËse, voie orale, lapin;50;mg/kg p.c./j;reproduction sur 2 gÈnÈration, rat;100;25%
581809-46-3;bixafen;UE;01/10/2013;DJA;0,02;mg/kg/j;2 ans, voie orale, rat;2;mg/kg/p.c./j;;100;non nécessaire
581809-46-3;bixafen;UE;01/10/2013;ARFD;0,2;mg/kg pc;TÈratogenËse, voie orale, rat;20;mg/kg/p.c./j;;100;non nécessaire
581809-46-3;bixafen;UE;01/10/2013;AOEL;0,13;mg/kg/j;90 jours, voie orale, rat;12,9;mg/kg/p.c./j;;100;non nécessaire
188425-85-6;boscalid;UE;01/08/2008;ARFD;non pertinent;;;;;;;non nécessaire
188425-85-6;boscalid;UE;01/08/2008;DJA;0,04;mg/kg/j;2 ans, voie orale, rat;4,4;mg/kg p.c./j;;100;non nécessaire
188425-85-6;boscalid;UE;01/08/2008;AOEL;0,1;mg/kg/j;1 an, voie orale, chien;22;mg/kg p.c./j;;100;44%
116255-48-2;bromuconazole;UE;01/02/2011;DJA;0,01;mg/kg/j;2 ans, voie orale, rat;0,88-1,09;mg/kg p.c./j;;100;non nécessaire
116255-48-2;bromuconazole;UE;01/02/2011;AOEL;0,025;mg/kg/j;90 jours, voie orale, rat;2,5;mg/kg p.c./j;1 an, voie orale, chien;100;non nécessaire
116255-48-2;bromuconazole;UE;01/02/2011;ARFD;0,1;mg/kg pc;TÈratogenËse, voie orale, rat;10;mg/kg p.c./j;;100;non nécessaire
41483-43-6;bupirimate;UE;01/06/2011;AOEL;0,05;mg/kg/j;2 ans, voie orale, chien;5;mg/kg p.c./j;;100;non nécessaire
41483-43-6;bupirimate;UE;01/06/2011;DJA;0,05;mg/kg/j;2 ans, voie orale, chien;5;mg/kg p.c./j;;100;non nécessaire
41483-43-6;bupirimate;UE;01/06/2011;ARFD;non pertinent;;;;;;;non nécessaire
133-06-2;captane;UE;29/09/2006;DJA;0,1;mg/kg/j;TÈratogenËse, voie orale, lapin;10;mg/kg p.c./j;;100;non nécessaire
133-06-2;captane;UE;29/09/2006;AOEL;0,1;mg/kg/j;TÈratogenËse, voie orale, lapin;10;mg/kg p.c./j;;100;non nécessaire
133-06-2;captane;UE;11/07/2008;ARFD;0,3;mg/kg pc;TÈratogenËse, voie orale, lapin;30;mg/kg p.c./j;;100;non nécessaire
128639-02-1;carfentrazone ethyle;UE;01/08/2018;DJA;0,03;mg/kg/j;2 ans, voie orale, rat;3;mg/kg p.c./j;;100;non nécessaire
128639-02-1;carfentrazone ethyle;UE;01/08/2018;AAOEL;non pertinent;;;;;;;non nécessaire
128639-02-1;carfentrazone ethyle;UE;01/08/2018;ARFD;non pertinent;;;;;;;non nécessaire
128639-02-1;carfentrazone ethyle;UE;01/08/2018;AOEL;0,4;mg/kg/j;90 jours, voie orale, rat;58;mg/kg p.c./j;;100;72%
500008-45-7;chlorantraniliprole;UE;01/05/2014;DJA;1,56;mg/kg/j;2 ans, voie orale, rat;156;mg/kg p.c./j;;100;non nécessaire
500008-45-7;chlorantraniliprole;UE;01/05/2014;ARFD;non pertinent;;;;;;;non nécessaire
500008-45-7;chlorantraniliprole;UE;01/05/2014;AOEL;0,36;mg/kg/j;1 an, voie orale, chien;278;mg/kg/p.c./j;;100;13%
999-81-5;chlormequat chloride;UE;23/04/2009;ARFD;0,09;mg/kg pc;28 jours, voie orale, chien;9;mg/kg/p.c./j;;100;non nécessaire
999-81-5;chlormequat chloride;UE;23/04/2009;AOEL;0,04;mg/kg/j;1 an, voie orale, chien;4;mg/kg p.c./j;;100;non nécessaire
999-81-5;chlormequat chloride;UE;23/04/2009;DJA;0,04;mg/kg/j;1 an, voie orale, chien;4;mg/kg/p.c./j;;100;non nécessaire
15545-48-9;chlortoluron;UE;15/02/2005;AOEL;0,215;mg/kg/j;90 jours, voie orale, chien;21,45;mg/kg p.c./j;;100;non nécessaire
15545-48-9;chlortoluron;UE;15/02/2005;DJA;0,04;mg/kg/j;2 ans, voie orale, rat;3,7;mg/kg p.c./j;;100;non nécessaire
15545-48-9;chlortoluron;UE;15/02/2005;ARFD;non pertinent;;;;;;;non nécessaire
143807-66-3;chromafÈnozide;UE;01/04/2015;ARFD;non pertinent;;;;;;;non nécessaire
143807-66-3;chromafÈnozide;UE;01/04/2015;AOEL;0,26;mg/kg/j;90 jours, voie orale, chien;52;mg/kg/p.c./j;;100;50%
143807-66-3;chromafÈnozide;UE;01/04/2015;DJA;0,27;mg/kg/j;1 an, voie orale, chien;27;mg/kg/p.c./j;;100;non nécessaire
99129-21-2;clethodim;UE;01/06/2011;ARFD;non pertinent;;;;;;;non nécessaire
99129-21-2;clethodim;UE;01/06/2011;AOEL;0,2;mg/kg/j;90 jours et 1 an, voie orale, chien;21;mg/kg/p.c./j;;100;non nécessaire
99129-21-2;clethodim;UE;01/06/2011;DJA;0,16;mg/kg/j;2 ans, voie orale, rat;16;mg/kg/p.c./j;;100;non nécessaire
105512-06-9;clodinafop-propargyl;UE;27/01/2006;AOEL;0,026;mg/kg/j;1 an, voie orale, chien;3,4;mg/kg p.c./j;;100;75%
105512-06-9;clodinafop-propargyl;UE;27/01/2006;ARFD;0,05;mg/kg pc;TÈratogenËse, voie orale, rat;5;mg/kg p.c./j;2 gÈnÈrations, voie orale, rat;100;non nécessaire
105512-06-9;clodinafop-propargyl;UE;27/01/2006;DJA;0,003;mg/kg/j;2 ans, voie orale, rat;0,3;mg/kg p.c./j;;100;non nécessaire
81777-89-1;clomazone;UE;20/12/2007;ARFD;non pertinent;;;;;;;non nécessaire
81777-89-1;clomazone;UE;20/12/2007;DJA;0,133;mg/kg/j;1 an, voie orale, chien;13,3;mg/kg p.c./j;;100;non nécessaire
81777-89-1;clomazone;UE;20/12/2007;AOEL;0,133;mg/kg/j;1 an, voie orale, chien;13,3;mg/kg p.c./j;;100;non nécessaire
1702-17-6;clopyralid;UE;20/05/2021;DJA;0,15;mg/kg/j;2 ans, voie orale, rat;15;mg/kg p.c./j;;100;non nécessaire
1702-17-6;clopyralid;UE;20/05/2021;ARFD;0,17;mg/kg pc;TÈratogenËse, voie orale, lapin;<50;mg/kg/p.c./j;;300;non nécessaire
1702-17-6;clopyralid;UE;20/05/2021;AOEL;0,15;mg/kg/j;Etude multigÈnÈrations,voie orale, rat;15;mg/kg p.c./j;;100;non nécessaire
1702-17-6;clopyralid;UE;20/05/2021;AAOEL;0,17;mg/kg/j;TÈratogenËse, voie orale, lapin;<50;mg/kg/p.c./j;;300;non nécessaire
99607-70-2;cloquintocet-mexyl;CES_PHYTO;;DJA;0,04;mg/kg/j;2 ans, voie orale, rat;4;mg/kg p.c./j;;100;non nécessaire
99607-70-2;cloquintocet-mexyl;CES_PHYTO;;ARFD;1;mg/kg pc;TÈratogenËse, voie orale, rat;;;;100;non nécessaire
99607-70-2;cloquintocet-mexyl;CES_PHYTO;;AOEL;0,05;mg/kg/j;90 jours, voie orale, rat;;;;100;non nécessaire
8011-63-0;cuivre de la bouillie bordelaise;UE;01/01/2019;AOEL;0,08;mg/kg/j;Autre(s) Ètude(s);;;donnÈes humaines (valeur de l'OMS de 0,15 mg Cu/kg pc/j pour les enfants);1;50%
8011-63-0;cuivre de la bouillie bordelaise;UE;01/01/2019;AAOEL;non pertinent;;;;;;;non nécessaire
8011-63-0;cuivre de la bouillie bordelaise;UE;01/01/2019;ARFD;non pertinent;;;;;;;non nécessaire
8011-63-0;cuivre de la bouillie bordelaise;UE;31/01/2024;DJA;0,07;mg/kg/j;Autre(s) Ètude(s);;;;1;non nécessaire
20427-59-2;cuivre de l'hydroxyde de cuivre;UE;01/01/2019;AAOEL;non pertinent;;;;;;;non nécessaire
20427-59-2;cuivre de l'hydroxyde de cuivre;UE;31/01/2024;DJA;0,07;mg/kg/j;Autre(s) Ètude(s);;;;1;non nécessaire
20427-59-2;cuivre de l'hydroxyde de cuivre;UE;01/01/2019;ARFD;non pertinent;;;;;;;non nécessaire
20427-59-2;cuivre de l'hydroxyde de cuivre;UE;01/01/2019;AOEL;0,08;mg/kg/j;Autre(s) Ètude(s);;;donnÈes humaines (valeur de l'OMS de 0,15 mg Cu/kg pc/j pour les enfants);1;50%
1332-40-7 ou 1332-65-6;cuivre de l'oxychlorure de cuivre;UE;31/01/2024;DJA;0,07;mg/kg/j;Autre(s) Ètude(s);;;;1;non nécessaire
1332-40-7 ou 1332-65-6;cuivre de l'oxychlorure de cuivre;UE;01/01/2019;ARFD;non pertinent;;;;;;;non nécessaire
1332-40-7 ou 1332-65-6;cuivre de l'oxychlorure de cuivre;UE;01/01/2019;AOEL;0,08;mg/kg/j;Autre(s) Ètude(s);;;donnÈes humaines (valeur de l'OMS de 0,15 mg Cu/kg pc/j pour les enfants);1;50%
1332-40-7 ou 1332-65-6;cuivre de l'oxychlorure de cuivre;UE;01/01/2019;AAOEL;non pertinent;;;;;;;non nécessaire
1317-39-1;cuivre de l'oxyde cuivreux;UE;31/01/2024;DJA;0,07;mg/kg/j;Autre(s) Ètude(s);;;;1;non nécessaire
1317-39-1;cuivre de l'oxyde cuivreux;UE;01/01/2019;AOEL;0,08;mg/kg/j;Autre(s) Ètude(s);;;donnÈes humaines (valeur de l'OMS de 0,15 mg Cu/kg pc/j pour les enfants);1;50%
1317-39-1;cuivre de l'oxyde cuivreux;UE;01/01/2019;ARFD;non pertinent;;;;;;;non nécessaire
1317-39-1;cuivre de l'oxyde cuivreux;UE;01/01/2019;AAOEL;non pertinent;;;;;;;non nécessaire
12527-76-3 ou 1333-22-8;cuivre du sulfate tribasique de cuivre;UE;31/01/2024;DJA;0,07;mg/kg/j;Autre(s) Ètude(s);;;;1;non nécessaire
12527-76-3 ou 1333-22-8;cuivre du sulfate tribasique de cuivre;UE;01/01/2019;AOEL;0,08;mg/kg/j;Autre(s) Ètude(s);;;donnÈes humaines (valeur de l'OMS de 0,15 mg Cu/kg pc/j pour les enfants);1;50%
12527-76-3 ou 1333-22-8;cuivre du sulfate tribasique de cuivre;UE;01/01/2019;AAOEL;non pertinent;;;;;;;non nécessaire
12527-76-3 ou 1333-22-8;cuivre du sulfate tribasique de cuivre;UE;01/01/2019;ARFD;non pertinent;;;;;;;non nécessaire
736994-63-1;cyantraniliprole;UE;14/09/2016;AOEL;0,007;mg/kg/j;1 an, voie orale, chien;1;mg/kg/p.c./j;;100;70%
736994-63-1;cyantraniliprole;UE;14/09/2016;ARFD;non pertinent;;;;;;;non nécessaire
736994-63-1;cyantraniliprole;UE;14/09/2016;DJA;0,01;mg/kg/j;1 an, voie orale, chien;1;mg/kg/p.c./j;;100;non nécessaire
120116-88-3;cyazofamid;UE;01/08/2021;AAOEL;non pertinent;;;;;;;non nécessaire
120116-88-3;cyazofamid;UE;01/08/2021;DJA;0,17;mg/kg/j;2 ans, voie orale, rat;17;mg/kg p.c./j;;100;non nécessaire
120116-88-3;cyazofamid;UE;01/08/2021;AOEL;0,045;mg/kg/j;90 jours, voie orale, rat;29,5;mg/kg p.c./j;AO = 15%;667;15%
120116-88-3;cyazofamid;UE;01/08/2021;ARFD;non pertinent;;;;;;;non nécessaire
101205-02-1;cycloxidime;UE;01/06/2011;AOEL;0,1;mg/kg/j;90 jours et 1 an, voie orale, chien;10;mg/kg p.c./j;MultigÈnÈrations, voie orale, rat;100;non nécessaire
101205-02-1;cycloxidime;UE;01/06/2011;ARFD;2;mg/kg pc;TÈratogenËse, voie orale, lapin;200;mg/kg p.c./j;TÈratogÈnËse,  voie orale, rat;100;non nécessaire
101205-02-1;cycloxidime;UE;01/06/2011;DJA;0,07;mg/kg/j;2 ans, voie orale, rat;7;mg/kg p.c./j;18 mois, voie orale, rat;100;non nécessaire
400882-07-7;cyflumetofene;UE;01/06/2013;DJA;0,17;mg/kg/j;90 jours, voie orale, rat;16,5;mg/kg/p.c./j;2 ans, voie orale, rat;100;non nécessaire
400882-07-7;cyflumetofene;UE;01/06/2013;ARFD;non pertinent;;;;;;;non nécessaire
400882-07-7;cyflumetofene;UE;01/06/2013;AOEL;0,11;mg/kg/j;90 jours, voie orale, rat;16,5;mg/kg/p.c./j;2 ans, voie orale, rat;100;68%
122008-85-9;cyhalofop butyl;UE;01/07/2017;DJA;0,003;mg/kg/j;18 mois, voie orale, souris;0,3;mg/kg p.c./j;;100;non nécessaire
122008-85-9;cyhalofop butyl;UE;01/07/2017;ARFD;0,4;mg/kg pc;TÈratogenËse, voie orale, lapin;40;mg/kg/p.c./j;;100;non nécessaire
