Numero CAS;NOM SA;CLASSEMENT DATE;CLASSEMENT CATÉGORIE DANGER;CLASSEMENT CODE H;CLASSEMENT MENTION DANGER
65-85-0;acide benzoique;05/06/2014;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
65-85-0;acide benzoique;05/06/2014;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée
77-06-5;acide gibbérellique;01/09/2009;Sans classement;Sans classement;Sans classement
67701-09-1 ou 334-48-5 ou 124-07-2 ou 143-07-7 ou 112-80-1;acide gras en C7-C18;09/02/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme
67701-09-1 ou 334-48-5 ou 124-07-2 ou 143-07-7 ou 112-80-1;acide gras en C7-C18;09/02/2021;Corrosif pour la peau, catégorie 1C;H314;Provoque des brûlures de la peau et des lésions oculaires graves
133-32-4;acide indolyl butyrique;15/12/2009;Toxicité pour la reproduction, catégorie 2(fd);H361fd;Susceptible de nuire à la fertilité. Susceptible de nuire au foetus
133-32-4;acide indolyl butyrique;15/12/2009;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
112-05-0;acide pelargonique;24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme
112-05-0;acide pelargonique;24/07/2015;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée
112-05-0;acide pelargonique;24/07/2015;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux
86-87-3;acide 1-naphthylacetique;27/01/2010;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
86-87-3;acide 1-naphthylacetique;27/01/2010;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
86-87-3;acide 1-naphthylacetique;27/01/2010;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
86-87-3;acide 1-naphthylacetique;27/01/2010;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
74070-46-5;aclonifen;02/10/2013;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
74070-46-5;aclonifen;02/10/2013;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
74070-46-5;aclonifen;02/10/2013;Sensibilisation cutanée, catégorie 1A;H317;Peut provoquer une allergie cutanée
74070-46-5;aclonifen;02/10/2013;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
67375-30-8;Alpha-cypermethrine;10/08/2009;Toxicité spécifique pour certains organes cibles - Exposition unique - Irritation des voies respiratoires, catégorie 3;H335;Peut irriter les voies respiratoires
67375-30-8;Alpha-cypermethrine;10/08/2009;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
67375-30-8;Alpha-cypermethrine;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
67375-30-8;Alpha-cypermethrine;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
67375-30-8;Alpha-cypermethrine;10/08/2009;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion
865318-97-4;amétoctradine;17/01/2017;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
120923-37-7;amidosulfuron;02/10/2013;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
120923-37-7;amidosulfuron;02/10/2013;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
150114-71-9;aminopyralide;18/02/2014;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
150114-71-9;aminopyralide;18/02/2014;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
150114-71-9;aminopyralide;18/02/2014;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
348635-87-0;amisulbrom;04/10/2018;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux
348635-87-0;amisulbrom;04/10/2018;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
348635-87-0;amisulbrom;04/10/2018;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
348635-87-0;amisulbrom;04/10/2018;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
11141-17-6;azadirachtin;24/01/2017;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
11141-17-6;azadirachtin;24/01/2017;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
11141-17-6;azadirachtin;24/01/2017;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
11141-17-6;azadirachtin;24/01/2017;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
131860-33-8;azoxystrobine;19/05/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
131860-33-8;azoxystrobine;19/05/2020;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
131860-33-8;azoxystrobine;19/05/2020;Toxicité aiguë (par inhalation), catégorie 3;H331;Toxique par inhalation
113614-08-7;beflubutamid;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
113614-08-7;beflubutamid;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
98243-83-5;benalaxyl-M;23/04/2014;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
1861-40-1;benfluraline;19/10/2023;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
1861-40-1;benfluraline;19/10/2023;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux
1861-40-1;benfluraline;19/10/2023;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
1861-40-1;benfluraline;19/10/2023;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
1861-40-1;benfluraline;19/10/2023;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée
1861-40-1;benfluraline;19/10/2023;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
1861-40-1;benfluraline;19/10/2023;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
98730-04-2;benoxacor;;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
98730-04-2;benoxacor;;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
98730-04-2;benoxacor;;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
83055-99-6;bensulfuron-methyle;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
83055-99-6;bensulfuron-methyle;16/12/2008;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
25057-89-0;bentazone;16/02/2022;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme
25057-89-0;bentazone;16/02/2022;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux
25057-89-0;bentazone;16/02/2022;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
25057-89-0;bentazone;16/02/2022;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
25057-89-0;bentazone;16/02/2022;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
177406-68-7;benthiavalicarb-isopropyl;27/09/2022;Toxicité pour la reproduction, catégorie 2(fd);H361fd;Susceptible de nuire à la fertilité. Susceptible de nuire au foetus
177406-68-7;benthiavalicarb-isopropyl;27/09/2022;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
177406-68-7;benthiavalicarb-isopropyl;27/09/2022;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
177406-68-7;benthiavalicarb-isopropyl;27/09/2022;Cancérogénicité, catégorie 1B;H350;Peut provoquer le cancer
1072957-71-1;benzovindiflupyr;19/07/2016;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
1072957-71-1;benzovindiflupyr;19/07/2016;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion
1072957-71-1;benzovindiflupyr;19/07/2016;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
1072957-71-1;benzovindiflupyr;19/07/2016;Toxicité aiguë (par inhalation), catégorie 3;H331;Toxique par inhalation
149877-41-8;bifenazate;24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
149877-41-8;bifenazate;24/07/2015;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
149877-41-8;bifenazate;24/07/2015;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
149877-41-8;bifenazate;24/07/2015;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
42576-02-3;bifenox;19/10/2023;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
42576-02-3;bifenox;19/10/2023;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
42576-02-3;bifenox;19/10/2023;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
581809-46-3;bixafen;28/06/2011;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
581809-46-3;bixafen;28/06/2011;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
188425-85-6;boscalid;;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
116255-48-2;bromuconazole;19/03/2019;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
116255-48-2;bromuconazole;19/03/2019;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
116255-48-2;bromuconazole;19/03/2019;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
116255-48-2;bromuconazole;19/03/2019;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
41483-43-6;bupirimate;19/07/2016;Sensibilisation cutanée, catégorie 1B;H317;Peut provoquer une allergie cutanée
41483-43-6;bupirimate;19/07/2016;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
41483-43-6;bupirimate;19/07/2016;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
133-06-2;captane;10/08/2009;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
133-06-2;captane;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
133-06-2;captane;10/08/2009;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
133-06-2;captane;10/08/2009;Toxicité aiguë (par inhalation), catégorie 3;H331;Toxique par inhalation
133-06-2;captane;10/08/2009;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
128639-02-1;carfentrazone ethyle;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
128639-02-1;carfentrazone ethyle;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
500008-45-7;chlorantraniliprole;30/01/2018;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
500008-45-7;chlorantraniliprole;30/01/2018;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
999-81-5;chlormequat chloride;16/12/2008;Toxicité aiguë (par voie cutanée), catégorie 4;H312;Nocif par contact cutané
999-81-5;chlormequat chloride;16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
15545-48-9;chlortoluron;16/12/2008;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
15545-48-9;chlortoluron;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
15545-48-9;chlortoluron;16/12/2008;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
15545-48-9;chlortoluron;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
143807-66-3;chromafénozide;20/09/2016;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
99129-21-2;clethodim;04/05/2017;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
99129-21-2;clethodim;04/05/2017;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme
99129-21-2;clethodim;04/05/2017;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
105512-06-9;clodinafop-propargyl;10/08/2009;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
105512-06-9;clodinafop-propargyl;10/08/2009;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
105512-06-9;clodinafop-propargyl;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
105512-06-9;clodinafop-propargyl;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
105512-06-9;clodinafop-propargyl;10/08/2009;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
81777-89-1;clomazone;11/03/2021;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
81777-89-1;clomazone;11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
81777-89-1;clomazone;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
81777-89-1;clomazone;11/03/2021;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
1702-17-6;clopyralid;10/08/2009;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
99607-70-2;cloquintocet-mexyl;;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
99607-70-2;cloquintocet-mexyl;;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
99607-70-2;cloquintocet-mexyl;;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
99607-70-2;cloquintocet-mexyl;;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
8011-63-0;cuivre de la bouillie bordelaise;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
8011-63-0;cuivre de la bouillie bordelaise;11/03/2021;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
8011-63-0;cuivre de la bouillie bordelaise;11/03/2021;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
8011-63-0;cuivre de la bouillie bordelaise;11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
20427-59-2;cuivre de l'hydroxyde de cuivre;11/03/2021;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
20427-59-2;cuivre de l'hydroxyde de cuivre;11/03/2021;Toxicité aiguë (par inhalation), catégorie 2;H330;Mortel par inhalation
20427-59-2;cuivre de l'hydroxyde de cuivre;11/03/2021;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
20427-59-2;cuivre de l'hydroxyde de cuivre;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
20427-59-2;cuivre de l'hydroxyde de cuivre;11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
1332-40-7 ou 1332-65-6;cuivre de l'oxychlorure de cuivre;11/03/2021;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion
1332-40-7 ou 1332-65-6;cuivre de l'oxychlorure de cuivre;11/03/2021;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
1332-40-7 ou 1332-65-6;cuivre de l'oxychlorure de cuivre;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
1332-40-7 ou 1332-65-6;cuivre de l'oxychlorure de cuivre;11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
1317-39-1;cuivre de l'oxyde cuivreux;11/03/2021;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
1317-39-1;cuivre de l'oxyde cuivreux;11/03/2021;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
1317-39-1;cuivre de l'oxyde cuivreux;11/03/2021;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
1317-39-1;cuivre de l'oxyde cuivreux;11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
1317-39-1;cuivre de l'oxyde cuivreux;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
12527-76-3 ou 1333-22-8;cuivre du sulfate tribasique de cuivre;11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
12527-76-3 ou 1333-22-8;cuivre du sulfate tribasique de cuivre;11/03/2021;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
12527-76-3 ou 1333-22-8;cuivre du sulfate tribasique de cuivre;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
736994-63-1;cyantraniliprole;12/02/2019;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
736994-63-1;cyantraniliprole;12/02/2019;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
120116-88-3;cyazofamid;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
120116-88-3;cyazofamid;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
101205-02-1;cycloxidime;05/06/2014;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
400882-07-7;cyflumetofene;04/10/2019;Sensibilisation cutanée, catégorie 1A;H317;Peut provoquer une allergie cutanée
400882-07-7;cyflumetofene;04/10/2019;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
122008-85-9;cyhalofop butyl;29/09/2010;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
122008-85-9;cyhalofop butyl;29/09/2010;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
57966-95-7;cymoxanil;05/06/2014;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
57966-95-7;cymoxanil;05/06/2014;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
57966-95-7;cymoxanil;05/06/2014;Toxicité pour la reproduction, catégorie 2(fd);H361fd;Susceptible de nuire à la fertilité. Susceptible de nuire au foetus
57966-95-7;cymoxanil;05/06/2014;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
57966-95-7;cymoxanil;05/06/2014;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
57966-95-7;cymoxanil;05/06/2014;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
52315-07-8;cypermethrine;11/03/2021;Toxicité spécifique pour certains organes cibles - Exposition unique - Irritation des voies respiratoires, catégorie 3;H335;Peut irriter les voies respiratoires
52315-07-8;cypermethrine;11/03/2021;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
52315-07-8;cypermethrine;11/03/2021;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
52315-07-8;cypermethrine;11/03/2021;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
52315-07-8;cypermethrine;11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
52315-07-8;cypermethrine;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
121552-61-2;cyprodinil;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
121552-61-2;cyprodinil;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
121552-61-2;cyprodinil;10/08/2009;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
221667-31-8;cyprosulfamide;28/04/2011;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
221667-31-8;cyprosulfamide;28/04/2011;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme
1596-84-5;daminozide;18/02/2022;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
533-74-4;dazomet;16/12/2008;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux
533-74-4;dazomet;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
