Numéro CAS;Nom SA;Valeur PNEC;Unité;Etude(s);Donnée de toxicité;Valeur donnée de toxicité;Unité donnée de toxicité;Facteur de sécurité
188425-85-6;boscalid;11;ug/L;toxicité chronique chez le poisson;NOEC;0,11;mg/L;10
116255-48-2;bromuconazole;6,5;ug/L;toxicité chronique chez le poisson;NOEC;65;ug/L;10
41483-43-6;bupirimate;10;ug/L;toxicité chronique chez le poisson;NOEC;0,1;mg/L;10
133-06-2;captane;7,45;ug/L;toxicité aigüe chez le poisson;HC5;67,09;ug/L;9
128639-02-1;carfentrazone ethyle;;;;;;;
500008-45-7;chlorantraniliprole;0,594;ug/L;toxicité aigüe chez l'invertébré aquatique;HC5;2,377;ug/L;4
500008-45-7;chlorantraniliprole;2,5;ug/kg sed;toxicité chronique chez l'invertébré aquatique;NOEC;0,025;mg/kg sed;10
500008-45-7;chlorantraniliprole;0,58;ug/L;toxicité aigüe chez l'invertébré aquatique;HC5;0,0291;mg/L;5
500008-45-7;chlorantraniliprole;0,5;ug/kg sed;toxicité chronique chez l'invertébré aquatique;NOEC;0,005;mg/kg sed;10
999-81-5;chlormequat chloride;240;ug/L;toxicité aigüe chez l'invertébré aquatique;NOEC;2,4;mg/L;10
15545-48-9;chlortoluron;2,4;ug/L;toxicité chez l'algue;CE50;0,024;mg/L;10
15545-48-9;chlortoluron;10;ug/L;microcosme;NOEC;50;ug/L;5
15545-48-9;chlortoluron;10;ug/L;mésocosme;NOAEC;10;ug/L;1
99129-21-2;clethodim;190;ug/L;toxicité chez la plante aquatique;CE50;1,9;mg/L;10
105512-06-9;clodinafop-propargyl;2,1;ug/L;toxicité aigüe chez le poisson;CE50;0,21;mg/L;100
81777-89-1;clomazone;18,5;ug/L;toxicité chez l'algue;CE50;0,185;mg/L;10
1702-17-6;clopyralid;300;ug/L;toxicité chez la plante aquatique;CE50;3;mg/L;10
99607-70-2;cloquintocet-mexyl;25;ug/L;toxicité chez l'algue;CE50;0,25;mg/L;10
8011-63-0;cuivre de la bouillie bordelaise;0,37;ug/L;SSD chronique_poissons;HC5;1,11;ug/L;3
20427-59-2;cuivre de l'hydroxyde de cuivre;0,37;ug/L;SSD_chronique_poissons;HC5;1,11;ug/L;3
1332-40-7 ou 1332-65-6;cuivre de l'oxychlorure de cuivre;0,37;ug/L;toxicité chronique chez le poisson;HC5;1,11;ug/L;3
1317-39-1;cuivre de l'oxyde cuivreux;0,37;ug/L;SSD_chronique_poissons;HC5;1,11;ug/L;3
12527-76-3 ou 1333-22-8;cuivre du sulfate tribasique de cuivre;0,37;ug/L;SSD_chronique_poissons;HC5;1,11;ug/L;3
736994-63-1;cyantraniliprole;1;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,01;mg/L;10
120116-88-3;cyazofamid;1,07;ug/L;toxicité chez différents groupes d'organismes aquatiques;CE50;0,107;mg/L;100
101205-02-1;cycloxidime;7,9;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0.079;mg/L;10
400882-07-7;cyflumetofene;0,63;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;0,063;mg/L;100
122008-85-9;cyhalofop butyl;6,37;ug/L;toxicité aigüe chez le poisson;CL50;0,637;mg/L;100
57966-95-7;cymoxanil;4,4;ug/L;toxicité chronique chez le poisson;NOEC;0,044;mg/L;10
52315-07-8;cypermethrine;0,0038;ug/L;mésocosme;NOAEC;0,015;ug/L;4
52315-07-8;cypermethrine;0,0017;ug/L;mésocosme;NOEC;0,005;ug/L;3
221667-31-8;cyprosulfamide;467;ug/L;toxicité chronique chez le poisson;NOEC;4,67;mg/L;10
1596-84-5;daminozide;755;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;75,5;mg/L;100
533-74-4;dazomet;3;ug/L;toxicité aigüe chez le poisson;CL50;0,3;mg/L;100
52918-63-5;deltamethrine;0,0105;ug/L;toxicité chez différents groupes d'organismes aquatiques;EAC;0,0000105;mg/L;1
52918-63-5;deltamethrine;0,0032;ug/L;mésocosme;EAC;3,2e-006;mg/L;1
1918-00-9;dicamba;45;ug/L;toxicité chez la plante aquatique;CE50;> 0,45;mg/L;10
15165-67-0;dichlorprop-P;100;ug/L;toxicité chez l'algue;CE50;1;mg/L;10
119446-68-3;difenoconazole;0,36;ug/L;toxicité chronique chez le poisson;NOEC;0,0036;mg/L;10
83164-33-4;diflufenican;0,25;ug/L;mésocosme;NOEC;0,75;ug/L;3
83164-33-4;diflufenican;0,051;ug/L;toxicité chez l'algue;CE50;0,00051;mg/L;10
83164-33-4;diflufenican;0,167;ug/L;mésocosme;NOEAEC;0,5;ug/L;3
50563-36-5;dimethachlore;6,58;ug/L;toxicité chez la plante aquatique;CE50;0,0658;mg/L;10
163515-14-8;Dimethenamid-P;4,57;ug/L;toxicité chez différents groupes d'organismes aquatiques;HC5;13,7;ug/L;3
110488-70-5;dimethomorphe;5,6;ug/L;toxicité chronique chez le poisson;NOEC;0,056;mg/L;10
149961-52-4;dimoxystrobine;0,032;ug/L;toxicité chronique chez le poisson;NOEC;0,000316;mg/L;10
149961-52-4;dimoxystrobine;1,67;ug/L;mésocosme;EAC;0,005;mg/L;3
13708-85-5 ou (130184-07-5 ou 16926-95-7);disodium phosphonate;612,6;ug/L;toxicité aigüe chez le poisson;CL50;61,26;mg/L;100
3347-22-6;dithianon;1,3;ug/L;toxicité chronique chez le poisson;NOEC;3,9;ug/L;3
2439-10-3 ;doguadine;8,2;ug/L;mésocosme;NOAEC;41;ug/L;5
155569-91-8;emamectine benzoate;0,033;ug/L;microcosme;NOEAEC;0,1;ug/L;3
66230-04-4;esfenvalerate;0,0001;ug/L;toxicité chronique chez le poisson;NOEC;0,001;ug/L;10
66230-04-4;esfenvalerate;0,0005;ug/L;mésocosme;NOEC;0,001;ug/L;2
16672-87-0;ethephon;160;ug/L;toxicité chez la plante aquatique;CE50;1,6;mg/L;10
26225-79-6;ethofumesate;15,6;ug/L;toxicité chronique chez le poisson;NOEC;0,156;mg/L;10
80844-07-1;etofenprox;0,0054;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,000054;mg/L;10
8000-78-0 ou 8008-99-9;extrait d'ail;116,5;ug/L;toxicité aigüe chez le poisson;CL50;11,65;mg/L;100
131807-57-3;famoxadone;0,068;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;0,0068;mg/L;100
120928-09-8;fenazaquin;0,15;ug/L;microcosme;NOEC;0,0003;mg/L;2
126833-17-8;fenhexamid;10,1;ug/L;toxicité chronique chez le poisson;NOEC;0,101;mg/L;10
71283-80-2;fenoxaprop-P-ethyl;1,9;ug/L;toxicité aigüe chez le poisson;CL50;0,19;mg/L;100
517875-34-2;fenpicoxamide;0,033;ug/L;mésocosme;NOEC;0,0001;mg/L;3
67306-00-7;fenpropidine;0,33;ug/L;mésocosme;NOEAEC;1;ug/L;3
473798-59-3;fenpyrazamine;0,0098;mg/L;toxicité chronique chez l'invertébré aquatique;NOAEC;0,098;mg/L;10
134098-61-6;fenpyroximate;0,061;ug/L;microcosme;NOEC;0,61;ug/L;10
104040-78-0;flazasulfuron;0,14;ug/L;toxicité chez la plante aquatique;CE50;1,4;ug/L;10
104040-78-0;flazasulfuron;0,07;ug/L;toxicité chez la plante aquatique;CE50;0,7;ug/L;10
104040-78-0;flazasulfuron;0,26;ug/L;toxicité chez la plante aquatique;CE50;2,6;ug/L;10
158062-67-0;flonicamid;310;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;3,1;mg/L;10
145701-23-1;florasulam;0,118;ug/L;toxicité chez la plante aquatique;CE50;0,00118;mg/L;10
145701-23-1;florasulam;0,133;ug/L;toxicité chez la plante aquatique;CE50;1,33;ug/L;10
"	1390661-72-9";Florpyrauxifene-benzyl;0,012;ug/L;toxicité chez la plante aquatique;CE50;0,12;ug/L;10
79241-46-6;fluazifop P butyl;5,3;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;0,53;mg/L;100
79622-59-6;fluazinam;0,29;ug/L;toxicité chronique chez le poisson;NOEC;0,0029;mg/L;10
131341-86-1;fludioxonyl;3,28;ug/L;microcosme;NOAEC;0,0164;mg/L;5
142459-58-3;flufenacet;2,4;ug/L;microcosme;NOEC;0,012;mg/L;5
103361-09-7;flumioxazine;0,035;ug/L;toxicité chez la plante aquatique;CE50;0,00035;mg/L;10
239110-15-7 ;fluopicolide;6,9;ug/L;toxicité chez l'algue;CE50;0,069;mg/L;10
239110-15-7 ;fluopicolide;4,8;ug/L;toxicité aigüe chez l'invertébré aquatique;CE10;0,048;mg/L;10
658066-35-4;fluopyram;13,5;ug/L;toxicité chronique chez le poisson;NOEC;0,135;mg/L;10
2699-79-8;fluorure de sulfuryle;6,2;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;0,62;mg/L;100
361377-29-9;fluoxastrobine;0,061;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,00061;mg/L;10
69377-81-7;fluroxypyr;27,6;ug/L;toxicité chez la plante aquatique;CE50;0,276;mg/L;10
81406-37-3;fluroxypyr : methylheptyl ester;1,83;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;> 0,183;mg/L;100
958647-10-4;Flutianil;0,0781;ug/L;toxicité chronique chez le poisson;NOEC;0.000781;mg/L;10
907204-31-3;fluxapyroxad;3,59;ug/L;toxicité chronique chez le poisson;NOEC;35,9;ug/L;10
133-07-3;folpel;3,9;ug/L;toxicité chronique chez le poisson;NOEC;39;ug/L;10
173159-57-4;foramsulfuron;0,101;ug/L;toxicité chez la plante aquatique;CE50;0,00101;mg/L;10
68157-60-8;forchlorfenuron;80;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;8;mg/L;100
76703-62-3;gamma cyhalothrine;0,91;ng/L;microcosme;CE10;0,91;ng/L;1
8030-53-3 (mélange);gibberelline A4 A7;960;ug/L;toxicité aigüe chez le poisson;CL50;> 96;mg/L;100
1071-83-6;glyphosate;100;ug/L;toxicité chronique chez le poisson;NOEC;1000;ug/L;10
943831-98-9;halauxifen-methyl;0,0393;ug/L;toxicité chez la plante aquatique;CE50;0,393;ug/L;10
100784-20-1;halosulfuron-méthyl;0,0491;ug/L;toxicité chez la plante aquatique;CE50;0,491;ug/L;10
870721-81-6;heptamaloxyloglucan;1500;ug/L;toxicité aigüe chez le poisson;CE50;>150;mg/L;100
78587-05-0;hexythiazox;0,61;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,0061;mg/L;10
8002-13-9;huile de colza;87,9;ug/L;toxicité aigüe chez le poisson;CL50;8,79;mg/L;100
8000-34-8;huile de girofle;19;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;1,9;mg/L;100
64742-46-7;huile de paraffine (CAS 64742-46-7);1000;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;> 100;mg/L;100
72623-86-0;huile de paraffine (CAS 72623-86-0);1000;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;>100;mg/L;100
8028-48-6 (orange oil);huile essentielle d'orange;4,08;ug/L;;CE50;0,0408;mg/L;10
123-33-1;hydrazide maleique;960;ug/L;toxicité chronique chez le poisson;NOEC;9,6;mg/L;10
298-14-6;hydrogénocarbonate de potassium;8575;ug/L;toxicité chez l'algue;CE50;85,75;mg/L;10
10004-44-1;hymexazol;40;ug/L;toxicité chronique daphnie 21 jours;CE10;0,4;mg/L;10
35554-44-0;imazalil;14,8;ug/L;toxicité aigüe chez le poisson;CL50;1,48;mg/L;100
114311-32-9;imazamox;4,2;ug/L;toxicité chez la plante aquatique;CE50;42;ug/L;10
125225-28-7;ipconazole;0,044;ug/L;toxicité chronique chez le poisson;NOEC;0,44;ug/L;10
140923-17-7;iprovalicarbe;189;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;1,89;mg/L;10
875915-78-9;isofétamide;18;ug/L;toxicité chronique chez le poisson;NOEC;0,18;mg/L;10
881685-58-1;isopyrazam;0,258;ug/L;toxicité aigüe chez le poisson;CL50;0,0258;mg/L;100
82558-50-7;isoxaben;3,75;ug/L;mésocosme;NOEC;7,5;ug/L;2
141112-29-0;isoxaflutole;0,1;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,001;mg/L;10
1332-58-7;kaolin;4940;ug/L;toxicité aigüe chez le poisson;CE50;494;mg/L;100
61790-53-2;kieselgur (terre à diatomées);1000;ug/L;toxicité chez différents groupes d’organismes aquatiques;CE50;100;mg/L;100
143390-89-0;kresoxim methyl;15;ug/L;toxicité aigüe chez le poisson;CL50;0,15;mg/L;10
91465-08-6;lambda cyhalothrine;0,00039;ug/L;toxicité aigüe chez l'invertébré aquatique;HC5;0.00117;ug/L;3
91465-08-6;lambda cyhalothrine;0,5;ng/L;mésocosme;NOEC;1;ng/L;2
9008-22-4;laminarine;713;ug/L;toxicité aigüe chez le poisson;CE50;>71,3;mg/L;100
2164-08-1 ;lenacile;1,215;ug/L;microcosme;NOEC;2,43;ug/L;2
173662-97-0;mandestrobine;7,18;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;718;ug/L;100
374726-62-2;mandipropamide;7,6;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,076;mg/L;10
94-74-6;MCPA;12,4;ug/L;toxicité chez la plante aquatique;CE50;0,124;mg/L;10
16484-77-8;mecoprop-P;160;ug/L;toxicité chez la plante aquatique;CE50;1,6;mg/L;10
135590-91-9;mefenpyr diethyl;10;ug/L;toxicité chronique chez le poisson;NOEC;0,1;mg/L;10
1417782-03-6;méfentrifluconazole;2,2;ug/L;toxicité chronique chez le poisson;NOEC;0,022;mg/L;10
24307-26-4;mepiquat-chlorure;685;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;68,5;mg/L;100
6119-92-2;meptyldinocap;0,038;ug/L;toxicité aigüe chez l'invertébré aquatique;HC5;0,114;ug/L;3
6119-92-2;meptyldinocap;0,286;ug/L;toxicité chronique chez le poisson;NOEC;2,86;ug/L;10
208465-21-8;mesosulfuron methyl;0,129;ug/L;toxicité chez la plante aquatique;NOEC;0,388;ug/L;3
104206-82-8;mesotrione;3,1;ug/L;toxicité chez la plante aquatique;CE50;0,031;mg/L;10
104206-82-8;mesotrione;1,09;ug/L;toxicité chez la plante aquatique;CE50;0,0109;mg/L;10
104206-82-8;mesotrione;5,31;ug/L;toxicité chez la plante aquatique;CE50;0,0531;mg/L;10
104206-82-8;mesotrione;0,77;ug/L;toxicité chez la plante aquatique;CE50;0,0077;mg/L;10
70630-17-0;metalaxyl-M;56;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;5,6;mg/L;100
108-62-3 (tetramer);metaldehyde;750;ug/L;toxicité aigüe chez le poisson;CL50;75;mg/L;100
41394-05-2;metamitrone;373;ug/L;mésocosme;NOAEC;1,12;mg/L;3
67129-08-2;metazachlore;3,78;ug/L;toxicité chez différents groupes d'organimes aquatiques;CE50;11,34;ug/L;3
67129-08-2;metazachlore;2,4;ug/L;mésocosme;NOEAEC;7,2;ug/L;3
125116-23-6 (unstated stereochemistry);metconazole;0,582;ug/L;toxicité chronique chez le poisson;NOEC;0,00291;mg/L;5
125116-23-6 (unstated stereochemistry);metconazole;0,291;ug/L;toxicité chronique chez le poisson;NOEC;0.00291;mg/L;10
9006-42-2;Metiram;5,5;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;0,11;mg/L;20
3060-89-7;metobromuron;31;ug/L;toxicité chez la plante aquatique;CE50;0,31;mg/L;10
220899-03-6;metrafenone;22,5;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,225;mg/L;10
74223-64-6;metsulfuron methyle;0,046;ug/L;toxicité chez la plante aquatique;CE50;0,00023;mg/L;5
74223-64-6;metsulfuron methyle;0,114;ug/L;toxicité chez la plante aquatique;CE50;0,00057;mg/L;5
74223-64-6;metsulfuron methyle;0,142;ug/L;toxicité chez la plante aquatique;CE50;1,42;ug/L;10
51596-10-2;milbemectine;0,012;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,00012;mg/L;10
15299-99-7;napropamide;66;ug/L;toxicité chronique chez le poisson;CL50;6,6;mg/L;100
15299-99-7;napropamide;35,56;ug/kg sed;toxicité chez la plante aquatique;CE50;0,3556;mg/kg sed;10
111991-09-4;nicosulfuron;0,27;ug/L;toxicité chez la plante aquatique;CE50;0,0027;mg/L;10
111991-09-4;nicosulfuron;0,67;ug/L;microcosme;NOAEC;2,01;ug/L;3
23135-22-0;oxamyl;1,89;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;18,9;ug/L;10
1003318-67-9;oxathiapiprolin;3,3;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;0,33;mg/L;100
42874-03-3;oxyfluorfene;0,032;ug/L;toxicité chez la plante aquatique;CE50;0,00032;mg/L;10
76738-62-0;paclobutrazol;0,82;ug/L;toxicité chez la plante aquatique;CE50;0,0082;mg/L;10
66246-88-6;penconazole;6;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,06;mg/L;10
40487-42-1;pendimethaline;0,48;ug/L;mésocosme;NOEC;0,96;ug/L;2
219714-96-2;penoxsulame;0,33;ug/L;toxicité chez la plante aquatique;CE50;0,00329;mg/L;10
183675-82-3;penthiopyrad;2,9;ug/L;toxicité aigüe chez le poisson;CL50;290;ug/L;100
106700-29-2;pethoxamid;0,96;ug/L;microcosme;NOAEC;0,0048;mg/L;5
106700-29-2;pethoxamid;2,67;ug/L;mésocosme;NOAEC;0,008;mg/L;3
13684-63-4;phenmediphame;4,1;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;0,41;mg/L;100
732-11-6;phosmet;0,0277;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;2,77;ug/L;100
10045-86-0;phosphate ferrique;1000;ug/L;toxicité chez différents groupes d'organismes aquatiques;CE50;>100;mg/L;100
20859-73-8;phosphure d'aluminium;0,0965;ug/L;toxicité aigüe chez le poisson;CE50;9,65;ug/L;100
12057-74-8;phosphure de magnesium;0,093;ug/L;toxicité aigüe chez le poisson;CL50;9,3;ug/L;100
1918-02-1 ;piclorame;55;ug/L;toxicité chronique chez le poisson;NOEC;0,55;mg/L;10
137641-05-5;picolinafen;0,024;ug/L;microcosme;NOEC;0,000072;mg/L;3
137641-05-5;picolinafen;0,054;ug/L;toxicité chez l'algue;HC5;0,162;ug/L;3
243973-20-8;pinoxaden;8,8;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;> 0,88;mg/L;100
13977-65-6  13492-26-7;potassium phosphonates;1180;ug/L;toxicité aigüe chez le poisson;CL50;118;mg/L;100
127277-53-6;prohexadione-calcium;120;ug/L;toxicité chez l'algue;CE50;>1,2;mg/L;10
24579-73-5;propamocarbe;1230;ug/L;toxicité aigüe chez l'invertébré aquatique;NOEC;12,3;mg/L;10
111479-05-1;propaquizafop;1,9;ug/L;toxicité chez le poisson;NOEC;0,019;mg/L;10
181274-15-7;propoxycarbazone;0,453;ug/L;toxicité chez la plante aquatique;CE50;0,00453;mg/L;10
23950-58-5;propyzamide;2,1;ug/L;toxicité chez la plante aquatique;CE50;0,021;mg/L;10
189278-12-4 ;proquinazid;0,18;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,0018;mg/L;10
52888-80-9;prosulfocarbe;7,5;ug/L;microcosme;NOEC;15;ug/L;2
52888-80-9;prosulfocarbe;14,2;ug/L;toxicité aigüe chez le poisson;CL50;1,42;mg/L;100
94125-34-5;prosulfuron;0,212;ug/L;toxicité chez la plante aquatique;CE50;0,00212;mg/L;10
178928-70-6;prothioconazole;13;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;1.3;mg/L;100
178928-70-6;prothioconazole;4,56;ug/L;toxicité chez l'algue;CE50;0,0456;mg/L;10
175013-18-0;pyraclostrobine;0,94;ug/L;toxicité chronique chez le poisson;NOEC;4,72;ug/L;5
129630-19-9;pyraflufen ethyl;0,0172;ug/L;toxicité chez la plante aquatique;CE50;0,172;ug/L;10
129630-19-9;pyraflufen ethyl;0,026;ug/L;toxicité chez l'algue;CE50;0,26;ug/L;10
8003-34-7;pyrethrines;0,041;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;4,1;ug/L;100
96489-71-3;pyridabene;0,68;ug/L;microcosme;NOEC;3,4;ug/L;5
55512-33-9;pyridate;4,9;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;0,49;mg/L;100
53112-28-0;pyrimethanil;7,7;ug/L;toxicité chronique chez le poisson;NOEC;0,077;mg/L;10
23103-98-2;pyrimicarbe;2;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,006;mg/L;3
688046-61-9;pyriofénone;8,99;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,0899;mg/L;10
95737-68-1;pyriproxyfen;0,0015;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,015;ug/L;10
95737-68-1;pyriproxyfen;0,6;ug/L;mésocosme;NOEC;1,2;ug/L;2
10058-44-3;pyrophosphate ferrique;;;;;;;
422556-08-9;pyroxsulame;0,388;ug/L;toxicité chez la plante aquatique;CE50;0,00388;mg/L;10
90717-03-6;Quinmerac;79;ug/L;toxicité chez la plante aquatique;CE50;0,79;mg/L;10
90717-03-6;Quinmerac;316;ug/L;toxicité chronique chez le poisson;NOEC;3,16;mg/L;10
100646-51-3;quizalofop-P-ethyl;2,1;ug/L;toxicité aigüe chez le poisson;CL50;0,21;mg/L;100
122931-48-0;rimsulfuron;0,46;ug/L;toxicité chez la plante aquatique;CE50;0,0046;mg/L;10
874967-67-6;sedaxane;6,2;ug/L;toxicité aigüe chez le poisson;CL50;620;ug/L;100
175217-20-6;silthiofam;47;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,47;mg/L;10
130561-48-7;sintofen;460;ug/L;toxicité chez la plante aquatique;CE50;4,6;mg/L;10
87392-12-9 (S-isomer) 178961-20-1 (R-isomer);s-metolachlore;6,7;ug/L;mésocosme;NOEC;0,02;mg/L;3
168316-95-8;spinosad;0,12;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,0012;mg/L;10
203313-25-1;spirotetramate;8,5;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;0,85;mg/L;100
118134-30-8;spiroxamine;0,2;ug/L;toxicité chronique chez le poisson;CE10;0,002;mg/L;10
99105-77-8;sulcotrione;2,35;ug/L;toxicité chez la plante aquatique;CE50;0,0235;mg/L;10
102851-06-9;tau-fluvalinate;0,0064;ug/L;toxicité chronique chez le poisson;NOEC;0,064;ug/L;10
102851-06-9;tau-fluvalinate;0,033;ug/L;toxicité chronique chez l'invertébré aquatique;NOEAEC;0,1;ug/L;3
107534-96-3;tebuconazole;1,2;ug/L;toxicité chronique chez le poisson;NOEC;12;ug/L;10
107534-96-3;tebuconazole;1;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,01;mg/L;10
112410-23-8;tebufenozide;3,35;ug/L;mésocosme;NOEC;6,7;ug/L;2
112410-23-8;tebufenozide;0,57;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,0057;mg/L;10
79538-32-2;tefluthrine;0,0004;ug/L;toxicité chronique chez le poisson;NOEC;3,97e-006;mg/L;10
79538-32-2;tefluthrine;0,00023;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,0023;ug/L;10
335104-84-2;tembotrione;0,6;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,006;mg/L;10
5915-41-3;terbuthylazine;1,9;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,019;mg/L;10
112281-77-3;tetraconazole;4,2;ug/L;toxicité aigüe chez l'invertébré aquatique;CL50;0,42;mg/L;100
148-79-8;thiabendazole;1,2;ug/L;toxicité chronique chez le poisson;NOEC;0,012;mg/L;10
317815-83-1;thiencarbazone-methyl;0,187;ug/L;toxicité chez la plante aquatique;CE50;1,87;ug/L;10
79277-27-3;thifensulfuron methyle;0,023;ug/L;toxicité chez la plante aquatique;CE50;0,00023;mg/L;10
57018-04-9;Tolclophos methyle;1,2;ug/L;toxicité chronique chez le poisson;NOEC;0,012;mg/L;10
2303-17-5;tri-allate;0,91;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;0,091;mg/L;100
2303-17-5;tri-allate;1,3;ug/L;toxicité chronique chez l’invertébré aquatique;NOEC;0,013;mg/L;10
