Numero CAS;NOM SA;CLASSEMENT RÉFÉRENCE;CLASSEMENT DATE;CLASSEMENT CATÉGORIE DANGER;CLASSEMENT CODE H;CLASSEMENT MENTION DANGER;FACTEUR M VALEUR;FACTEUR M ORIGINE;FACTEUR M DATE
135158-54-2;Acibenzolar-S-methyl;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Toxicité spécifique pour certains organes cibles - Exposition unique - Irritation des voies respiratoires, catégorie 3;H335;Peut irriter les voies respiratoires;;;
135158-54-2;Acibenzolar-S-methyl;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1;ANSES;23/10/2014
135158-54-2;Acibenzolar-S-methyl;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;;ANSES;23/10/2014
64-19-7;acide acetique;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Liquides inflammables, catégorie 3;H226;Liquides et vapeurs inflammables;;;
64-19-7;acide acetique;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Corrosif pour la peau, catégorie 1A;H314;Provoque des brûlures de la peau et des lésions oculaires graves;;;
65-85-0;acide benzoique;Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008);05/06/2014;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 1;H372;Risque avéré d'effet graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;;;
65-85-0;acide benzoique;Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008);05/06/2014;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves;;;
65-85-0;acide benzoique;Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008);05/06/2014;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée;;;
77-06-5;acide gibbérellique;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;01/09/2009;Sans classement;Sans classement;Sans classement;;;
"67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1";acide gras en C7-C18;"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";09/02/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme;;;
"67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1";acide gras en C7-C18;"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";09/02/2021;Corrosif pour la peau, catégorie 1C;H314;Provoque des brûlures de la peau et des lésions oculaires graves;;;
133-32-4;acide indolyl butyrique;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;15/12/2009;Toxicité pour la reproduction, catégorie 2(fd);H361fd;Susceptible de nuire à la fertilité. Susceptible de nuire au foetus;;;
133-32-4;acide indolyl butyrique;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;15/12/2009;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
112-05-0;acide pelargonique;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme;;;
112-05-0;acide pelargonique;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée;;;
112-05-0;acide pelargonique;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux;;;
86-87-3;acide 1-naphthylacetique;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;27/01/2010;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus;;;
86-87-3;acide 1-naphthylacetique;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;27/01/2010;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
86-87-3;acide 1-naphthylacetique;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;27/01/2010;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves;;;
86-87-3;acide 1-naphthylacetique;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;27/01/2010;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;;;
74070-46-5;aclonifen;Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008);02/10/2013;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer;;;
74070-46-5;aclonifen;Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008);02/10/2013;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;UE;
74070-46-5;aclonifen;Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008);02/10/2013;Sensibilisation cutanée, catégorie 1A;H317;Peut provoquer une allergie cutanée;;;
74070-46-5;aclonifen;Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008);02/10/2013;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;100;UE;
67375-30-8;Alpha-cypermethrine;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Toxicité spécifique pour certains organes cibles - Exposition unique - Irritation des voies respiratoires, catégorie 3;H335;Peut irriter les voies respiratoires;;;
67375-30-8;Alpha-cypermethrine;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;;;
67375-30-8;Alpha-cypermethrine;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1000;ANSES;19/07/2013
67375-30-8;Alpha-cypermethrine;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1000;ANSES;19/07/2013
67375-30-8;Alpha-cypermethrine;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion;;;
865318-97-4;amétoctradine;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;17/01/2017;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1;ANSES;17/01/2017
120923-37-7;amidosulfuron;Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008);02/10/2013;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;100;UE;02/10/2013
120923-37-7;amidosulfuron;Règlement (UE) N°944/2013 (5e ATP au Règlement 1272/2008);02/10/2013;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;100;UE;02/10/2013
150114-71-9;aminopyralide;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;18/02/2014;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1;ANSES;18/02/2014
150114-71-9;aminopyralide;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;18/02/2014;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves;;;
150114-71-9;aminopyralide;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;18/02/2014;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1;ANSES;18/02/2014
348635-87-0;amisulbrom;Règlement (UE) N°2018/1480 (13e ATP au Règlement 1272/2008);04/10/2018;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux;;;
348635-87-0;amisulbrom;Règlement (UE) N°2018/1480 (13e ATP au Règlement 1272/2008);04/10/2018;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;UE;04/10/2018
348635-87-0;amisulbrom;Règlement (UE) N°2018/1480 (13e ATP au Règlement 1272/2008);04/10/2018;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer;;;
348635-87-0;amisulbrom;Règlement (UE) N°2018/1480 (13e ATP au Règlement 1272/2008);04/10/2018;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;UE;04/10/2018
11141-17-6;azadirachtin;"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";24/01/2017;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
11141-17-6;azadirachtin;"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";24/01/2017;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus;;;
11141-17-6;azadirachtin;"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";24/01/2017;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;ANSES;
11141-17-6;azadirachtin;"	Classement adapté par l’ANSES selon les règles de traduction du règlement CLP";24/01/2017;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;ANSES;
131860-33-8;azoxystrobine;Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008);19/05/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;UE;19/05/2020
131860-33-8;azoxystrobine;Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008);19/05/2020;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;UE;19/05/2020
131860-33-8;azoxystrobine;Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008);19/05/2020;Toxicité aiguë (par inhalation), catégorie 3;H331;Toxique par inhalation;;;
113614-08-7;beflubutamid;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;100;ANSES;21/04/2015
113614-08-7;beflubutamid;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;ANSES;21/04/2015
98243-83-5;benalaxyl-M;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;23/04/2014;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;;;
1861-40-1;benfluraline;Règlement (UE) N° 2024/197, 21ème adaptation au progrès technique, Règlement (CE) N° 1272/2008 (ATP 21);19/10/2023;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
1861-40-1;benfluraline;Règlement (UE) N° 2024/197, 21ème adaptation au progrès technique, Règlement (CE) N° 1272/2008 (ATP 21);19/10/2023;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux;;;
1861-40-1;benfluraline;Règlement (UE) N° 2024/197, 21ème adaptation au progrès technique, Règlement (CE) N° 1272/2008 (ATP 21);19/10/2023;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer;;;
1861-40-1;benfluraline;Règlement (UE) N° 2024/197, 21ème adaptation au progrès technique, Règlement (CE) N° 1272/2008 (ATP 21);19/10/2023;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;UE;19/10/2023
1861-40-1;benfluraline;Règlement (UE) N° 2024/197, 21ème adaptation au progrès technique, Règlement (CE) N° 1272/2008 (ATP 21);19/10/2023;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée;;;
1861-40-1;benfluraline;Règlement (UE) N° 2024/197, 21ème adaptation au progrès technique, Règlement (CE) N° 1272/2008 (ATP 21);19/10/2023;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;UE;19/10/2023
1861-40-1;benfluraline;Règlement (UE) N° 2024/197, 21ème adaptation au progrès technique, Règlement (CE) N° 1272/2008 (ATP 21);19/10/2023;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus;;;
98730-04-2;benoxacor;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1;;
98730-04-2;benoxacor;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
98730-04-2;benoxacor;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1;;
83055-99-6;bensulfuron-methyle;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;;;
83055-99-6;bensulfuron-methyle;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
25057-89-0;bentazone;Règlement (UE) N°2022-692 (18e ATP au Règlement 1272/2008);16/02/2022;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme;;UE;16/12/2008
25057-89-0;bentazone;Règlement (UE) N°2022-692 (18e ATP au Règlement 1272/2008);16/02/2022;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux;;;
25057-89-0;bentazone;Règlement (UE) N°2022-692 (18e ATP au Règlement 1272/2008);16/02/2022;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
25057-89-0;bentazone;Règlement (UE) N°2022-692 (18e ATP au Règlement 1272/2008);16/02/2022;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus;;;
25057-89-0;bentazone;Règlement (UE) N°2022-692 (18e ATP au Règlement 1272/2008);16/02/2022;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
177406-68-7;benthiavalicarb-isopropyl;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;27/09/2022;Toxicité pour la reproduction, catégorie 2(fd);H361fd;Susceptible de nuire à la fertilité. Susceptible de nuire au foetus;;;
177406-68-7;benthiavalicarb-isopropyl;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;27/09/2022;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
177406-68-7;benthiavalicarb-isopropyl;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;27/09/2022;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;;ANSES;10/03/2021
177406-68-7;benthiavalicarb-isopropyl;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;27/09/2022;Cancérogénicité, catégorie 1B;H350;Peut provoquer le cancer;;;
1072957-71-1;benzovindiflupyr;Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008);19/07/2016;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;100;UE;19/07/2016
1072957-71-1;benzovindiflupyr;Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008);19/07/2016;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion;;;
1072957-71-1;benzovindiflupyr;Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008);19/07/2016;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;100;UE;19/07/2016
1072957-71-1;benzovindiflupyr;Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008);19/07/2016;Toxicité aiguë (par inhalation), catégorie 3;H331;Toxique par inhalation;;;
149877-41-8;bifenazate;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;ANSES;18/06/2013
149877-41-8;bifenazate;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
149877-41-8;bifenazate;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;;;
149877-41-8;bifenazate;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;ANSES;18/06/2013
42576-02-3;bifenox;Règlement (UE) N° 2024/197, 21ème adaptation au progrès technique, Règlement (CE) N° 1272/2008 (ATP 21);19/10/2023;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1000;UE;19/10/2023
42576-02-3;bifenox;Règlement (UE) N° 2024/197, 21ème adaptation au progrès technique, Règlement (CE) N° 1272/2008 (ATP 21);19/10/2023;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
42576-02-3;bifenox;Règlement (UE) N° 2024/197, 21ème adaptation au progrès technique, Règlement (CE) N° 1272/2008 (ATP 21);19/10/2023;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1000;UE;19/10/2023
581809-46-3;bixafen;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;28/06/2011;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;ANSES;18/06/2013
581809-46-3;bixafen;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;28/06/2011;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;ANSES;18/06/2013
188425-85-6;boscalid;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP.;;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;;;
116255-48-2;bromuconazole;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;19/03/2019;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1;ANSES;30/10/2018
116255-48-2;bromuconazole;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;19/03/2019;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus;;;
116255-48-2;bromuconazole;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;19/03/2019;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1;ANSES;30/10/2018
116255-48-2;bromuconazole;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;19/03/2019;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
41483-43-6;bupirimate;Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008);19/07/2016;Sensibilisation cutanée, catégorie 1B;H317;Peut provoquer une allergie cutanée;;;
41483-43-6;bupirimate;Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008);19/07/2016;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer;;;
41483-43-6;bupirimate;Règlement (UE) N°2016/1179 (9e ATP au Règlement 1272/2008);19/07/2016;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1;UE;19/07/2016
133-06-2;captane;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves;;;
133-06-2;captane;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;UE;10/08/2009
133-06-2;captane;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
133-06-2;captane;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Toxicité aiguë (par inhalation), catégorie 3;H331;Toxique par inhalation;;;
133-06-2;captane;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer;;;
128639-02-1;carfentrazone ethyle;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;;ANSES;19/04/2021
128639-02-1;carfentrazone ethyle;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;;ANSES;19/04/2021
500008-45-7;chlorantraniliprole;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;30/01/2018;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;ANSES;16/04/2013
500008-45-7;chlorantraniliprole;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;30/01/2018;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;ANSES;16/04/2013
999-81-5;chlormequat chloride;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Toxicité aiguë (par voie cutanée), catégorie 4;H312;Nocif par contact cutané;;;
999-81-5;chlormequat chloride;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
15545-48-9;chlortoluron;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer;;;
15545-48-9;chlortoluron;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;100;ANSES;14/05/2013
15545-48-9;chlortoluron;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus;;;
15545-48-9;chlortoluron;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;ANSES;14/05/2013
143807-66-3;chromafénozide;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;20/09/2016;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;;;
